Id,SampleEventId,InputFileId,Type,Origin,TrophicMode,TaxonomicKingdom,TaxonomicOrder,TaxonomicFamily,TaxonomicGenus,TaxonomicSpecies,SamplePooling,StatisticalPooling,SampleSize,DevelopmentStage,GutClearance,OrganismMass,OrganismMassType,OrganismMassUnits,OrganismSizeNotes,OrganismSampled,TissueSampled,CarbonMean,CarbonStdev,CarbonUnits,CarbonMethod,CarbonMethodUrl,NitrogenMean,NitrogenStdev,NitrogenUnits,NitrogenMethod,NitrogenMethodUrl,PhosphorusMean,PhosphorusStdev,PhosphorusUnits,PhosphorusMethod,PhosphorusMethodUrl,CarbonToNitrogenRatio,CarbonToPhosphorusRatio,NitrogenToPhosphorusRatio,OtherElementsReported,Isotope13C,Isotope13CStDev,Isotope15N,Isotope15NStDev,OtherIsotopesReported,Chlorophyll,ChlorophyllUnits,ResourceQuantityReported,OrganismSampleId,Notes
19,14,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,eleocharis,baldwinii,NA_unknown,NA_unknown,1,NA,NA,0.23,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.17]}",whole_organism,NA,35.7,NA,percent_dm,NA,NA,2.04,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,20.40824015,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P04""],""chemSubsampleID"":[""BARC.20161101.ELBA2.P4""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
20,14,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,eleocharis,baldwinii,NA_unknown,NA_unknown,1,NA,NA,2.39,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[1.74]}",whole_organism,NA,38.06,NA,percent_dm,NA,NA,2.26,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,19.63938357,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P05""],""chemSubsampleID"":[""BARC.20161101.ELBA2.P5""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
21,14,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,eleocharis,baldwinii,NA_unknown,NA_unknown,1,NA,NA,0.18,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.14]}",whole_organism,NA,39.72,NA,percent_dm,NA,NA,1.9,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,24.37940748,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P07""],""chemSubsampleID"":[""BARC.20161101.ELBA2.P7""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
22,14,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,eleocharis,NA,NA_unknown,NA_unknown,1,NA,NA,0.03,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.03]}",whole_organism,NA,41.53,NA,percent_dm,NA,NA,2.48,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,19.52889893,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P01""],""chemSubsampleID"":[""BARC.20161101.ELEOCHARIS SP.P1""]}",NA
23,14,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,fuirena,scirpoidea,NA_unknown,NA_unknown,1,NA,NA,12.39,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[11.71]}",whole_organism,NA,44.86,NA,percent_dm,NA,NA,1.23,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,42.5325739,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P10""],""chemSubsampleID"":[""BARC.20161101.FUSC.P10""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
24,14,1,Bryophyte,Benthic,photoautotroph,plantae,isoetales,isoetaceae,isoetes,NA,NA_unknown,NA_unknown,1,NA,NA,0.16,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.1]}",whole_organism,NA,34.94,NA,percent_dm,NA,NA,3.35,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,12.16313707,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P05""],""chemSubsampleID"":[""BARC.20161101.ISOETES SP.P5""]}",NA
25,14,1,Bryophyte,Benthic,photoautotroph,plantae,poales,poaceae,leersia,hexandra,NA_unknown,NA_unknown,1,NA,NA,96.45,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[91.29]}",whole_organism,NA,45.05,NA,percent_dm,NA,NA,1.76,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,29.85036425,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P10""],""chemSubsampleID"":[""BARC.20161101.LEHE.P10""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
26,14,1,Bryophyte,Benthic,photoautotroph,plantae,NA,NA,NA,NA,NA_unknown,NA_unknown,1,NA,NA,NA,NA,NA,NA,whole_organism,NA,41.84,NA,percent_dm,NA,NA,4.06,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,12.01802629,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P10""],""chemSubsampleID"":[""BARC.20161101.MACROALGAE.P10""]}",NA
27,14,1,Bryophyte,Benthic,photoautotroph,plantae,NA,NA,NA,NA,NA_unknown,NA_unknown,1,NA,NA,NA,NA,NA,NA,whole_organism,NA,31.13,NA,percent_dm,NA,NA,3.36,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,10.8045666,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P03""],""chemSubsampleID"":[""BARC.20161101.MACROALGAE.P3.CN""]}",NA
28,14,1,Bryophyte,Benthic,photoautotroph,plantae,NA,NA,NA,NA,NA_unknown,NA_unknown,1,NA,NA,NA,NA,NA,NA,whole_organism,NA,27.99,NA,percent_dm,NA,NA,2.49,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,13.10904514,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P06""],""chemSubsampleID"":[""BARC.20161101.MACROALGAE.P6.CN""]}",NA
29,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,37.93,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[31.28]}",whole_organism,NA,38.93,NA,percent_dm,NA,NA,2.06,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,22.03863493,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P01""],""chemSubsampleID"":[""BARC.20161101.UTFL.P1""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
30,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,0.12,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.11]}",whole_organism,NA,35.27,NA,percent_dm,NA,NA,1.87,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,21.99537449,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P10""],""chemSubsampleID"":[""BARC.20161101.UTFL.P10""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
31,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,9.74,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[7.13]}",whole_organism,NA,34.73,NA,percent_dm,NA,NA,2.4,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,16.87567096,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P02""],""chemSubsampleID"":[""BARC.20161101.UTFL.P2""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
32,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,8.69,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[6.54]}",whole_organism,NA,34.11,NA,percent_dm,NA,NA,2.34,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,16.99939125,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P03""],""chemSubsampleID"":[""BARC.20161101.UTFL.P3""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
33,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,1.24,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.95]}",whole_organism,NA,34.51,NA,percent_dm,NA,NA,2.49,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,16.16267051,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P04""],""chemSubsampleID"":[""BARC.20161101.UTFL.P4""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
34,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,0.03,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.03]}",whole_organism,NA,39.04,NA,percent_dm,NA,NA,2.48,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,18.35801142,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P05""],""chemSubsampleID"":[""BARC.20161101.UTFL.P5""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
35,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,12.69,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[10.5]}",whole_organism,NA,38.47,NA,percent_dm,NA,NA,2.34,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,19.17228324,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P06""],""chemSubsampleID"":[""BARC.20161101.UTFL.P6""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
36,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,0.49,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.41]}",whole_organism,NA,37.67,NA,percent_dm,NA,NA,2.12,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,20.72178993,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P07""],""chemSubsampleID"":[""BARC.20161101.UTFL.P7""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
37,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,0.39,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.32]}",whole_organism,NA,40.47,NA,percent_dm,NA,NA,2.45,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,19.26347473,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P08""],""chemSubsampleID"":[""BARC.20161101.UTFL.P8""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
38,14,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,9.94,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[8.55]}",whole_organism,NA,39.85,NA,percent_dm,NA,NA,1.89,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,24.58861285,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P09""],""chemSubsampleID"":[""BARC.20161101.UTFL.P9""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
39,15,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,eleocharis,baldwinii,NA_unknown,NA_unknown,1,NA,NA,0.64,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.53]}",whole_organism,NA,38.5,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,1.98,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,22.67582239,NA,NA,FALSE,-31.88,NA,1.48,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20170628.RAKE.P4""],""chemSubsampleID"":[""BARC.20170628.ELBA2.P4""]}","{""sample date and time"":[""2017-06-28T14:57:00""]}"
40,15,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,eleocharis,baldwinii,NA_unknown,NA_unknown,1,NA,NA,0.25,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.21]}",whole_organism,NA,35.66,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,2.36,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,17.6212553,NA,NA,FALSE,-27.83,NA,4.12,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20170628.RAKE.P6""],""chemSubsampleID"":[""BARC.20170628.ELBA2.P6""]}","{""sample date and time"":[""2017-06-28T15:30:00""]}"
41,15,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,fuirena,scirpoidea,NA_unknown,NA_unknown,1,NA,NA,3.4,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[3.21]}",whole_organism,NA,41.66,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,1.18,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,41.17226561,NA,NA,FALSE,-29.45,NA,8.29,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20170628.RAKE.P10""],""chemSubsampleID"":[""BARC.20170628.FUSC.P10""]}","{""sample date and time"":[""2017-06-28T16:06:00""]}"
42,15,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,fuirena,scirpoidea,NA_unknown,NA_unknown,1,NA,NA,11.1,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[10.46]}",whole_organism,NA,42.53,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,1.03,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,48.15325679,NA,NA,FALSE,-29.28,NA,8.08,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20170628.RAKE.P3""],""chemSubsampleID"":[""BARC.20170628.FUSC.P3""]}","{""sample date and time"":[""2017-06-28T14:46:00""]}"
43,15,1,Bryophyte,Benthic,photoautotroph,plantae,poales,poaceae,leersia,hexandra,NA_unknown,NA_unknown,1,NA,NA,74.46,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[70.42]}",whole_organism,NA,42.28,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,0.83,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,59.40519061,NA,NA,FALSE,-29.37,NA,7.45,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20170628.RAKE.P10""],""chemSubsampleID"":[""BARC.20170628.LEHE.P10""]}","{""sample date and time"":[""2017-06-28T16:06:00""]}"
44,15,1,Bryophyte,Benthic,photoautotroph,plantae,poales,poaceae,leersia,hexandra,NA_unknown,NA_unknown,1,NA,NA,8.43,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[7.85]}",whole_organism,NA,42.44,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,1.15,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,43.03730246,NA,NA,FALSE,-28.38,NA,7.2,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20170628.RAKE.P3""],""chemSubsampleID"":[""BARC.20170628.LEHE.P3""]}","{""sample date and time"":[""2017-06-28T14:46:00""]}"
45,15,1,Bryophyte,Benthic,photoautotroph,plantae,poales,poaceae,leersia,hexandra,NA_unknown,NA_unknown,1,NA,NA,37.77,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[34.64]}",whole_organism,NA,40.72,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,1.55,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,30.6368125,NA,NA,FALSE,-28.55,NA,6.3,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20170628.RAKE.P5""],""chemSubsampleID"":[""BARC.20170628.LEHE.P5""]}","{""sample date and time"":[""2017-06-28T15:15:00""]}"
46,15,1,Bryophyte,Benthic,photoautotroph,plantae,poales,poaceae,leersia,hexandra,NA_unknown,NA_unknown,1,NA,NA,11.11,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[10.47]}",whole_organism,NA,42.63,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,1.22,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,40.74956804,NA,NA,FALSE,-28.44,NA,6.12,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20170628.RAKE.P9""],""chemSubsampleID"":[""BARC.20170628.LEHE.P9""]}","{""sample date and time"":[""2017-06-28T16:03:00""]}"
